Douglas Adams	Q42
Shota Rustaveli	Q132984
Tormod Haugen	Q133657
Oscar Niemeyer	Q134165
Konstantin Badygin	Q155183
Johann Gottfried Herder	Q155547
Buddhadeb Bose	Q155114
Ángel de Saavedra, 3rd Duke of Rivas	Q155463
Kurt Schwitters	Q155158
Susan Blackmore	Q155199
Julien Benda	Q155270
Anton Ingolič	Q147810
József Katona	Q149415
Rajneesh	Q148285
Kij Johnson	Q3138815
J.-H. Rosny jeune	Q3156733
Jack Snow	Q3157322
Jacqueline Lichtenberg	Q3157753
Jane Porter	Q3161890
David Eagleman	Q999577
Alan Brennert	Q3136498
I. J. Parker	Q3146470
Jaime de Angulo	Q3160585
Janet Fitch	Q3161920
Jacques Godbout	Q3159008
Yambo Ouologuem	Q3142046
Jean Lemieux	Q3173169
Giorgio Gaber	Q1010602
Hubert Monteilhet	Q3142075
Jay Faerber	Q3163226
Jean-Jacques Bernard	Q3166180
Jay Presson Allen	Q3163251
Jane West	Q3161903
Howard V. Hendrix	Q3141600
Daniel Spitzer	Q999539
Auguste Schneegans	Q1036880
Jean Husson	Q3172581
Jacqueline Winspear	Q3157819
Jean-Louis Vaudoyer	Q3167016
Jean Metellus	Q3173661
May Swenson	Q1026443
Hélène Lenoir	Q3144803
Jacques-Henri Meister	Q3157958
James Gurney	Q3161126
Zeami Motokiyo	Q169352
Henry von Heiseler	Q1607455
Jean Dubuffet	Q170076
Saadi	Q170302
Maria Messina	Q3847430
Maurice Shadbolt	Q3847218
Maria V. Snyder	Q3847582
Henry Jaeger	Q1606912
Ferdynand Goetel	Q3848170
Mary Kirchoff	Q3850481
Henry Keppel	Q1606951
Henry Noel Humphreys	Q1607088
Henry Arthur Jones	Q1606448
Herbert Schuldt	Q1609085
Alexandre Dumas, fils	Q169150
Robert Desnos	Q170095
Walther Schoenichen	Q1606759
Wolfardine von Minutoli	Q1608992
Hrotsvitha	Q170248
H. M. Tomlinson	Q1607310
George Carlin	Q150651
Dorothy Day	Q150281
Boniface VIII	Q134646
Erik Axel Karlfeldt	Q134641
Josephus	Q134461
Vicente Aleixandre	Q134644
Charles Murray	Q1065595
Jacek Dukaj	Q1067346
Thomas Homer-Dixon	Q1106359
Naser Makarem Shirazi	Q1075947
Luigi Lunari	Q1097664
David Brion Davis	Q1173832
Dennis Potter	Q1189442
Léger-Félicité Sonthonax	Q1050194
Carl Hermann Manchot	Q1038782
Christian Gottlob Wild	Q1080002
Dimitri Verhulst	Q1225937
Dennis Kelly	Q1189253
Charles L. Mee	Q1065224
Christoph Frick	Q1084873
Celeste Buckingham	Q1093318
David Harrower	Q1174680
Carl Gustav Wrangel	Q1038499
Burton Malkiel	Q1072872
György Lukács	Q151523
Olive Schreiner	Q151180
Joseph O'Neill	Q151708
Ida Jessen	Q151762
Juan Tomás Ávila Laurel	Q151806
James George Frazer	Q151936
Taras Shevchenko	Q134958
Liberty Hyde Bailey	Q152366
Laura Bush	Q152019
F. K. Waechter	Q152352
Max Haushofer	Q119149
George Tzavellas	Q119157
Conrad Justinger	Q119313
Bernhard Baader	Q119447
Aloys Schreiber	Q119183
Rafael Alberti	Q118936
Alva Myrdal	Q152437
Theodor W. Adorno	Q152388
Robert Moore Williams	Q3938376
Shōzō Numa	Q3959910
Ward Greene	Q4018179
Pamela Moore	Q3892884
Randall Kenan	Q3930018
Robert Ferrigno	Q3938269
Robert Leeson	Q3938338
Walter Wager	Q4018041
William Henry Ireland	Q4058973
Nnedi Okorafor	Q3877423
P. Schuyler Miller	Q3900938
Tatsuya Hamazaki	Q3981527
Theodore L. Thomas	Q3990238
Thomas Heggen	Q3990638
Thomas Anstey Guthrie	Q3990574
Masaki Tsuji	Q3850922
Stanley J. Weyman	Q3889326
Rachel Cohn	Q3912887
Rex Burns	Q3933999
William Rabkin	Q4020133
Michael Bedard	Q3856112
Paul Edwin Zimmer	Q3898050
Paule Marshall	Q3898198
Richard C. Meredith	Q3934775
Ross Rocklynne	Q3941581
Stanley Elkin	Q3968234
Charles Hamilton Aidé	Q4058488
Afonso d'Escragnolle Taunay	Q3888486
Pat Frank	Q3897539
Walter Siti	Q4018016
Sally Beauman	Q3945643
Susan Minot	Q3978228
Tristão de Alencar Araripe Jr.	Q3999068
Steve Aylett	Q4058884
Anatoliy Dnistrovyi	Q4064960
Morgan Llywelyn	Q3862976
Ogawa Ito	Q3881072
Óscar Esquivias	Q4025476
Gennady Alekseev	Q4061638
Max Jacob	Q156214
George F. Kennan	Q156058
Roman Jakobson	Q156201
Pierre Bourdieu	Q156268
Mumia Abu-Jamal	Q156133
Christian Grenier	Q135303
Valery Larbaud	Q135640
Nicholas G. Carr	Q137642
Lev Gumilyov	Q135481
Leah Goldberg	Q138007
Poul Martin Møller	Q137571
Tomás de Iriarte	Q135326
Tom Arden	Q137582
Joan Coromines	Q137659
Howard Zinn	Q119546
Julius Mader	Q119614
Hanna Johansen	Q119768
Johann Diederich Gries	Q119797
Adomnán	Q120132
Pentti Kirstilä	Q120134
Adolf Strodtmann	Q119527
Ivan Vasilenko	Q126742
Alfred Bekker	Q126535
Morris Rosenfeld	Q126519
William Hazlitt	Q126596
Robert Capa	Q152524
Oscar A. H. Schmitz	Q126733
Charles Seife	Q152739
Jan Neruda	Q156321
Giorgio de Chirico	Q156622
Adolf Erik Nordenskiöld	Q156749
Saadat Hasan Manto	Q156501
Sigurd Hoel	Q138650
Michel Déon	Q138166
Saint Sava	Q138465
Michael Drayton	Q138540
Tom Kempinski	Q138158
C. N. Annadurai	Q138765
Zacharias Werner	Q139557
Phlegon of Tralles	Q138531
Zabihollah Safa	Q138984
Zachris Topelius	Q139549
Tobias S. Buckell	Q138243
Gershom Scholem	Q138850
Zack O'Malley Greenburg	Q139850
Norbert Scheuer	Q126779
Barbara Kirchner	Q126812
Ernst Willkomm	Q126789
Ulrich von Schlippenbach	Q126776
Ernest Renan	Q157155
Milorad Pavić	Q157204
Primož Trubar	Q156902
Jorge Semprún	Q157004
Władysław Szpilman	Q157176
Ernst Barlach	Q156890
Kim Young-ha	Q140135
John Donne	Q140412
Ted Kooser	Q140196
Dhani Ram Chatrik	Q140303
Hugo Kołłątaj	Q127345
José Echegaray	Q127349
Kathryn M. Drennan	Q126976
Carl Schurz	Q127437
Casimir Delavigne	Q126961
Scott Baker	Q3476175
Sakae Tsuboi	Q3469340
Bruce Bethke	Q4085972
Sarah Hall	Q3473359
George Henry Weiss	Q3439765
Scott Phillips	Q3476291
Regina Maria Roche	Q3423476
René Thévenin	Q3426933
Richard Sapir	Q3431190
Rosamond Lehmann	Q3442258
Ryōe Tsukimura	Q3453959
Régis Messac	Q3455763
Sarah Caudwell	Q3459129
Sean McMullen	Q3476757
Ron Hansen	Q3441396
Sarah Ash	Q3473313
Roger de Lafforest	Q3439610
Russell H. Greenan	Q3453462
Donald R. Bensen	Q4083857
Reza Ghassemi	Q3428934
Richard Collasse	Q3430650
Roger S. Baum	Q3439440
Ruthanne Lum McCunn	Q3453652
Samuel W. Taylor	Q3471259
René-Charles Rey	Q3425666
Renée Dunan	Q3427135
Richard A. Lupoff	Q3430446
Roger de Beauvoir	Q3439595
John Gregory Betancourt	Q4085950
Scott Sigler	Q3476305
Johann Jakob Baegert	Q1667908
Rudolf Friedrich Heinrich Magenau	Q1667634
Leo Pleysier	Q1670470
Martin Greif	Q1669190
Ion Idriess	Q1672008
Joseph Epple	Q1668283
Jack Hibberd	Q1669539
Ángel Guimerá	Q175485
Jean Lorrain	Q127984
Giorgio Vasari	Q128027
Johan Vilhelm Snellman	Q127688
Charles Astor Bristed	Q127781
Bart D. Ehrman	Q127876
Tim Willocks	Q128224
Claude Lévi-Strauss	Q128126
Bernard Etxepare	Q127609
Chufo Lloréns	Q127655
Norman Lockyer	Q127959
Innocent III	Q128076
Bronisław Geremek	Q157282
Merton Miller	Q157255
Francis Picabia	Q157321
Origen	Q170472
Simone Weil	Q157309
Johann Mattheson	Q170333
John VIII	Q170504
Leszek Kołakowski	Q157318
Assia Djebar	Q157313
Innocent II	Q170386
Luke the Evangelist	Q128538
Steve Coll	Q128771
Leonard Spigelgass	Q176064
Aubrey de Grey	Q175969
Stijn Streuvels	Q175669
Ban Zhao	Q177081
Nikolai Erdman	Q176985
Sophia Parnok	Q177288
Sonya Dorman	Q3490778
Shovel	Q3482568
Seanan McGuire	Q3476794
Sergio Kokis	Q3479666
Simon Hawke	Q3484299
David Whitaker	Q4801454
Arnaud de Borchgrave	Q4794497
Arthur Leo Zagat	Q4799490
Arthur Murray Chisholm	Q4799798
Arthur O. Friel	Q4799866
Arthur J. Burks	Q4799182
Arturo Islas	Q4801749
Arion Golmakani	Q4790759
Arthur Stringer	Q4800383
Arthur W. Saha	Q4800570
Sherwood Smith	Q3481983
Arthur Calder-Marshall	Q4798185
K. J. Bishop	Q3488956
Arlo Bates	Q4792424
Arthur D. Howden Smith	Q4798397
Arthur Nersesian	Q4799820
Aryn Kyle	Q4802711
Arthur K. Barnes	Q4799303
Ashley McConnell	Q4805510
Sophie Chauveau	Q3490878
Barbara Newhall Follett	Q4793236
T. E. Lawrence	Q170596
Anthony the Great	Q170547
Callixtus II	Q170654
Pedro Calderón de la Barca	Q170800
Eusebius of Caesarea	Q142999
Arnold Bax	Q143198
Heinrich Gerlach	Q1597327
Satinath Bhaduri	Q142590
Julius Fučík	Q142059
Peter Michalzik	Q1595695
Ruan Ji	Q142683
Ouriel Zohar	Q142974
Heikki Hietamies	Q1594618
Sergei Dovlatov	Q141114
Nigel Tranter	Q143024
Alexis de Tocqueville	Q140694
Alfred Thayer Mahan	Q142988
Heiko Bellmann	Q1594642
Lucian of Samosata	Q177847
Magnus Gottfried Lichtwer	Q177427
John Gray	Q129130
Alexander Bestuzhev	Q128832
Roger Martin du Gard	Q129155
Verner von Heidenstam	Q129173
Bāṇabhaṭṭa	Q171202
Gleb Uspensky	Q171242
Thalía	Q171235
Nagarjuna	Q171195
Georges Cuvier	Q171969
Henry Morton Stanley	Q171421
Zeno of Citium	Q171303
Celestine II	Q171144
William Carlos Williams	Q178106
Lorenzo de' Medici	Q177854
Sebastian Barry	Q178100
Lewis Black	Q180252
Furio Scarpelli	Q179982
Cato the Elder	Q180081
Fyodor Glinka	Q180545
Christopher Brookmyre	Q180328
Apollonius of Perga	Q180109
Margaret Mead	Q180099
Stephen Jay Gould	Q180619
Alex Miller	Q4717502
Alan Rodgers	Q4707654
Alexander Theroux	Q4720208
Alexis Wright	Q4721550
Alfred Ollivant	Q4723241
Alice Hegan Rice	Q4725909
Austin Tappan Wright	Q4823306
Alfred Kern	Q4723006
Alan Monaghan	Q4707346
Alan Russell	Q4707679
Robert Ames Bennet	Q4812030
Atsushi Koyano	Q4817814
Rachel Joyce	Q4846313
Barb Hendee	Q4858541
Aleksandar Đuričić	Q4714905
Alexandra Sellers	Q4720749
Alexandra Sokoloff	Q4720754
Ali Liebegott	Q4724974
Alice Zorn	Q4726163
Ashwin Sanghi	Q4806194
Ayelet Waldman	Q4831145
Barbara Baynton	Q4858740
Alan Lawrence Sitomer	Q4707128
Alexandra Adornetto	Q4720570
Alexandra Bracken	Q4720592
Alfred Henry Lewis	Q4722825
Ali Ashraf Darvishian	Q4724680
Alice Randall	Q4726063
Aliette de Bodard	Q4726543
Alan Judd	Q4707003
Albert Richard Smith	Q4711104
Alexander Jablokov	Q4719217
Alexander M. Phillips	Q4719453
Alexander Saxton	Q4720024
Alice Henderson	Q4725908
Bonnie Burnard	Q4818346
Alan Gratz	Q4706752
Albert Kinross	Q4710640
Alexander Besher	Q4718352
Alicia Erian	Q4726256
Astro Teller	Q4811519
Aury Wallington	Q4822672
Barbara Biggs	Q4858749
Albert Payson Terhune	Q4710993
Alexander C. Irvine	Q4718489
Alfredo Véa, Jr.	Q4723888
Bailey White	Q4848392
Barbara Comyns	Q4858822
Karl Egon Ebert	Q129356
Johann Jakob Bachofen	Q123861
Hugo Alfaro	Q129328
Lojze Kovačič	Q123878
Otto Keller	Q123889
Anton Neuhäusler	Q123901
Mikhail Botvinnik	Q178865
Alexander Hamilton	Q178903
Diophantus	Q178217
David Allen	Q178369
Fuzûlî	Q178379
Joseph ben Nathan Official	Q178883
Giambattista Vico	Q178709
Giacomo Leopardi	Q172599
Ammianus Marcellinus	Q172198
Alexander Ostrovsky	Q171976
Joseph Reinach	Q172161
Luigi Bartolini	Q172346
Ashraf Ghani Ahmadzai	Q172388
John Cage	Q180727
Jane Addams	Q180989
Aratus	Q180671
Mohammad Khatami	Q180795
O. Henry	Q172788
Merlin Stone	Q172766
Sumitranandan Pant	Q172634
Anonimo Magliabechiano	Q179174
Alice B. Toklas	Q179122
John Ruskin	Q179126
Jayant Vishnu Narlikar	Q179201
Steven Weinberg	Q179282
Lisa Kudrow	Q179041
Mirta Yáñez	Q179065
Helen Garner	Q4949556
Phoebe Gloeckner	Q4950282
Mollie Hunter	Q4955103
Brenda Clough	Q4960653
Brendan O'Carroll	Q4961036
Brian Daley	Q4963506
Brian Castro	Q4963314
Lucas Malet	Q4965106
Mary Johnston	Q4957212
Sheila Kaye-Smith	Q4958416
Brian Evenson	Q4963691
Brian Meehl	Q4964758
Brenda Walker	Q4960780
Brendan DuBois	Q4960869
Leigh Eddings	Q4945666
Brad Ferguson	Q4953925
Randa Jarrar	Q4956404
Brent Hartinger	Q4961414
Gwethalyn Graham	Q4950618
Brad Strickland	Q4954295
Bret Lott	Q4961944
Carin Gerhardsen	Q4949887
Brad R. Torgersen	Q4954205
Brian Francis Slattery	Q4963785
Brad Thor	Q4954313
Brett Battles	Q4962070
Teri Hatcher	Q181490
Mahathir Mohamad	Q181383
Muawiyah I	Q181154
Moses ibn Tibbon	Q181498
Alexandra Kollontai	Q179558
Anna Komnene	Q179284
Ariane Mnouchkine	Q179449
Muhammad al-Idrisi	Q173441
Mansur Al-Hallaj	Q172862
Adolf Stahr	Q124143
Heinrich Glarean	Q124070
Henry Friedlander	Q124159
Adolf Frey	Q124151
Alex Capus	Q124613
Adolphe Appia	Q124077
Emil Zschokke	Q124325
Henry Picker	Q124314
Johann Gottfried Hoffmann	Q124523
Eduard Engel	Q124526
Mely Kiyak	Q124589
Peter Bichsel	Q124038
Binjamin Wilkomirski	Q124437
John Knittel	Q124397
Jacques Chessex	Q124156
Henri-Frédéric Amiel	Q123916
Johann Caspar Bluntschli	Q124094
Johann Kaspar Lavater	Q123918
Richard Tarnas	Q123928
Edward van de Vendel	Q1294222
Georg Pauli	Q1381512
Klaus Reichert	Q1393473
Els Beerten	Q1333332
Jan Terlouw	Q1397450
May Menassa	Q4966992
Joke van Leeuwen	Q1288774
Ilkka Remes	Q1399171
Sergi Belbel	Q1383469
John Godber	Q1293910
Edwin de Vries	Q1295091
Ole Könnecke	Q1332716
Donald L. Coburn	Q1240037
Chuck Barris	Q1268397
Ernest Claes	Q1356304
George Furth	Q1383628
Els Pelgrom	Q1333340
Thérèse of Lisieux	Q181715
Sidney Lee	Q179854
Atiq Rahimi	Q179801
Rubén Darío	Q173767
Péter Halász	Q1414870
Geoff Dyer	Q1502891
Joseph E. Alouf	Q1543114
Fitzgerald Kusz	Q1421351
Ferdinand Lindner	Q1405561
Hermann von Greiffenegg	Q1436696
Georg Vogtherr	Q1506290
Stephen T. Holgate	Q1547900
David Karp	Q5235861
David Bradley	Q5231656
Gwyn Williams	Q5234490
David Holbrook	Q5235087
David Moles	Q5237643
David Weiss	Q5240939
David Wong	Q5241269
David Wroblewski	Q5241319
David Llewellyn	Q5236689
David Gates	Q5234049
David Lipsky	Q5236652
David Wiltse	Q5241212
David Marusek	Q5237187
David Sherman	Q5239733
David Sosnowski	Q5239958
David Ebershoff	Q5233250
David Robbins	Q5236246
David Macfarlane	Q5237009
Dayton Ward	Q5243582
David D. Downie	Q5232771
David Hitt	Q5235031
David F. Case	Q5233490
David James Duncan	Q5235567
David Wong Louie	Q5241270
David Bischoff	Q5231419
David D. Levine	Q5232778
David J. Williams	Q5235511
David R. Palmer	Q5238842
William Morris	Q182589
Leon Battista Alberti	Q182046
Pavel Bazhov	Q182156
John James Audubon	Q182882
Irenaeus	Q182123
Alfred, Lord Tennyson	Q173869
Garrison Keillor	Q183031
Adam Ferguson	Q183094
Georgi Plekhanov	Q182905
Juana Inés de la Cruz	Q183074
Julio Cortázar	Q174210
Magdalen Nabb	Q174183
Terrence McNally	Q1566335
Bette Greene	Q4898395
Betty Louise Bell	Q4898907
Bienvenido Santos	Q4904598
Emily M. Danforth	Q5372267
Emma Holly	Q5372845
Eric Hodgins	Q5386740
Emily Carmichael	Q5372094
Emma McLaughlin	Q5372909
Eryue He	Q5396554
Ethel Watts Mumford	Q5403229
Eugene Byrne	Q5407092
Eric Barnes	Q5386090
Betty Roland	Q4898960
Betina Krahn	Q4898133
Ernest Hebert	Q5393236
Emerson Hough	Q5370892
Eric Kraft	Q5386910
Estelle Blackburn	Q5400922
Beverly Swerling	Q4899623
Emanuel Litvinoff	Q5369098
Emilia Aylmer Blake	Q5371634
Eugene McCabe	Q5407504
De Lysle Ferree Cass	Q5244603
Riku Onda	Q5369698
Katri Lipson	Q5407319
Dean Hughes	Q5246238
Emily Giffin	Q5372180
Emma Burstall	Q5372750
Eugene George Key	Q5407292
Eugie Foster	Q5408413
Eunice Tietjens	Q5409778
Erec Stebbins	Q5385375
Beth Groundwater	Q4897507
Emily Schultz	Q5372354
Erland Kiøsterud	Q5389724
Kouhei Kadono	Q5407129
José de Espronceda	Q209077
Jacques Hébert	Q209901
Jean Teulé	Q183248
Jeremy Strong	Q209873
Constance Rourke	Q183241
Max Heindel	Q183192
Roger Gilbert-Lecomte	Q209861
Lactantius	Q209102
Mark Hamill	Q210447
Archestratus	Q210507
Emmanuel Rhoides	Q211350
Temistocle Solera	Q211329
Justin	Q210853
Sayyid Qutb	Q211379
Baldassarre Castiglione	Q211133
Reid Hoffman	Q211098
Frederik van Eeden	Q211514
Nikolay Morozov	Q211551
Endre Ady	Q211392
Timothy Leary	Q211731
Peter Singer	Q211539
Chrysippus of Soli	Q211411
Jean de Tournes	Q174839
Teresa of Ávila	Q174880
Tertullian	Q174929
Sebastià Juan Arbó	Q175204
Michael Moore	Q174908
Orpheus	Q174353
Wolfgang Weyrauch	Q1636438
Jennifer Love Hewitt	Q175104
Otto Schell	Q1644194
Adam of Saint Victor	Q175053
Ingo Harden	Q1637516
Madeleine Albright	Q174438
Jakub Arbes	Q175285
Aristide Briand	Q179888
Johann Friedrich Iken	Q1653112
Percy MacKaye	Q1650288
Vo Nguyen Giap	Q179910
Alexander-Martin Sardina	Q1648062
Käthe Schirmacher	Q1651018
Ian F. Brockington	Q1655451
Ruan Fangfu	Q212147
Jon Stewart	Q211987
Adam Zamoyski	Q212498
Roger Ebert	Q212173
Jan Karski	Q212523
Ian Christe	Q1655470
Ibn Nubata	Q1655892
Ian Vernon Hogg	Q1655549
Wang Can	Q201225
Guillaume de Machaut	Q200580
Wayne C. Booth	Q200918
David Ogilvy	Q198743
Simon Lomniczky von Budecz	Q200851
Paul Valéry	Q200639
Premendra Mitra	Q199947
Ephrem the Syrian	Q200608
Alexander Ivanovich Herzen	Q201221
Ono no Komachi	Q198984
Ahmad ibn Fadlan	Q200947
Francisco Quevedo	Q201315
Rudy Giuliani	Q212648
Andrei Bely	Q212632
Gnaeus Naevius	Q212667
Wilfred Owen	Q212719
Ingeborg Harms	Q1662889
Jens Smærup Sørensen	Q1687365
Bodie and Brock Thoene	Q4936572
Lan Cao	Q4941760
Cecelia Holland	Q5055869
Mary Cholmondeley	Q4942781
Charles Dickinson	Q5076859
Friedrich Menz	Q1667018
Bill Hopkins	Q4909482
Blair Mastbaum	Q4924143
Blair Niles	Q4924150
Cerridwen Fallingstar	Q5064819
Charlee Jacob	Q5074614
Charles Finch	Q5077653
Jeffrey Kluger	Q1686458
Jeff Cooper	Q1686282
Bob Garfield	Q4932507
Jenny Diski	Q4944889
Dorita Fairlie Bruce	Q4940910
Charles Coleman Finlay	Q5076375
Bill Brittain	Q4908271
Blanche d'Alpuget	Q4924895
Florence L. Barclay	Q4937514
Jeanne Cavelos	Q4942268
Ethel M. Dell	Q4944529
Charles Edward Montague	Q5077290
Charles Eric Maine	Q5077413
Joshua Sobol	Q1686565
Jerry Dumas	Q1687812
Bill Crider	Q4908614
Bill DeSmedt	Q4908721
Rim Kin	Q4919402
Cecilia Galante	Q5056426
Charles A. Spano, Jr.	Q5074912
Rayk Wieland	Q1686303
Jo Duffy	Q1689882
Billie Letts	Q4911865
Blaine Pardoe	Q4923966
Sheila Burnford	Q4941286
Catriona Sparks	Q5053975
Katie Hafner	Q1686800
Jens Bisky	Q1687121
Jesse Lynch Williams	Q1688174
Billy Lee Brammer	Q4912889
Blanche McCrary Boyd	Q4924871
Zealia Bishop	Q4939137
John Dryden	Q213355
B. F. Skinner	Q213195
Steven Pinker	Q212730
Benedict Anderson	Q212993
Denis I of Portugal	Q212890
Charles Martin	Q5080705
Charles Morris	Q5081096
Charles Sellier	Q5082435
Charles Yale Harrison	Q5083759
William Charles Mark Kent	Q5079760
Charles Perry	Q5081600
Charles R. Pellegrino	Q5081877
Charles G. D. Roberts	Q5077925
Charles Hawes	Q5078843
Charles Ogden	Q5081351
Charles R. Saunders	Q5081875
Charles Whitehead	Q5083499
Charles Lachman	Q5080012
Charles Major	Q5080612
Charles Yu	Q5083786
Charlie Jane Anders	Q5084448
Charlotte Fullerton	Q5085945
John Wesley	Q213393
Johann Matthäus Bechstein	Q213583
Raul Hilberg	Q213553
Anacreon	Q213484
Johann Most	Q213632
Rudolf Arnheim	Q213642
John Millington Synge	Q213447
Arthur Adamov	Q213582
Hugo Riemann	Q213539
Rudolf Rocker	Q213562
Karl Leberecht Immermann	Q213589
John Grinder	Q201446
John Dee	Q201484
Archilochus	Q201323
Jean-Antoine-Nicolas de Caritat de Condorcet	Q201477
John Francis Moore	Q1700107
Q5862425	Q5862425
Jack Woodford	Q5918689
John Bargh	Q1699046
John D. Stamford	Q1699731
Felipe Polleri Sierra	Q5858368
Hugh Mackay	Q5931633
Hossein Sanapour	Q5909132
José Tomás de Cuéllar	Q5945829
René Kaech	Q1699386
Homer Eon Flint	Q5890025
Howard Roger Garis	Q5920671
Zackaria Hashemi	Q5944820
Norton Juster	Q5894750
Howard Roughan	Q5920764
Hubert Skidmore	Q5927620
Johannes Roschinsky	Q1698269
William W. Johnstone	Q5889793
Javier Reverte	Q5928154
Howard Frank Mosher	Q5919671
Howard Wandrei	Q5921198
Hugh Howey	Q5931173
Johannes Proelß	Q1698193
J. C. Squire	Q1699642
Heinz Delam	Q5893567
Mojtaba Pourmohsen	Q5944944
Andrew Macphail	Q4757858
Andrew O'Connor	Q4758144
Andrew O'Hagan	Q4758145
Andy Duncan	Q4760631
Angelo F. Coniglio	Q4762875
Adolph Freiherr Knigge	Q213681
Andrew Peterson	Q4758259
Andrew Kooman	Q4757648
Andy Runton	Q4761263
Andrew Kaplan	Q4757574
André Alexis	Q4759811
Andy Mangels	Q4760985
Andrew Masterson	Q4757907
Angela Elwell Hunt	Q4762434
Angela Lambert	Q4762483
Angela Brazil	Q4762392
Angelico Chavez	Q4762698
André Vianco	Q4760090
Anita Diamant	Q4765521
Alan Villiers	Q202250
Cesare Lombroso	Q202420
Arkady Gaidar	Q202537
Arthur van Schendel	Q202355
Cleitarchus	Q201867
Evliya Çelebi	Q202308
Edward Said	Q201538
Dominique-Georges-Frédéric Dufour de Pradt	Q202386
Gerrit Komrij	Q202489
Fred Uhlman	Q215937
Q5951276	Q5951276
Q5958772	Q5958772
Albert O. Hirschman	Q215949
Louise Michel	Q216092
Davud Ghaffarzadegan	Q5950570
Hy Conrad	Q5952203
Heinrich Christian Boie	Q215931
Johann Beckmann	Q215979
Jens Baggesen	Q215945
Rudolf Wittkower	Q215999
Hussein Al-Wad	Q5949710
Yaghoub Yadali	Q5953398
Fred Hoyle	Q183397
Lyudmila Petrushevskaya	Q183382
Samuel Johnson	Q183266
James Nelson Barker	Q1680890
James Swan	Q1681156
Jan Janák	Q1681891
William Barclay	Q1680145
James Elmes	Q1680339
James Bamford	Q1680004
James Fisher	Q1680386
James Saunders	Q1681081
Edwin O. Reischauer	Q183253
James De Mille	Q1680258
James Deahl	Q1680261
James Oppenheim	Q1680917
Simon Reynolds	Q202676
Vuk Karadžić	Q202815
Ibn al-Farid	Q203142
Mae West	Q202878
Edmond Rostand	Q202749
Gabriel Bonnot de Mably	Q202555
Alejo Carpentier	Q216466
G.L. Durlacher	Q216411
Ernst Friedrich	Q216400
Robert Bober	Q216290
Heinrich Clauren	Q216112
Hermann Marggraff	Q216156
Jeremy Clarkson	Q216160
Nonius Marcellus	Q183420
Théophile Gautier	Q183713
Francisco I. Madero	Q216766
Robert Southey	Q216838
Albert Emil Brachvogel	Q216668
Ryszard Kapuściński	Q216813
Filippo Tommaso Marinetti	Q216582
Ann Downer	Q4766369
Anna Burns	Q4766889
John Derbyshire	Q1659427
Ina Hartwig	Q1660833
Anna Lee Waldo	Q4767212
Ilse Akunian	Q1659118
Vito Bruschini	Q1657925
Anita Mason	Q4765582
Ann Eliza Bleecker	Q4766381
Ann Hood	Q4766459
Anita Heiss	Q4765544
Ann Eliza Smith	Q4766382
Ann Packer	Q4766601
Ann Rinaldi	Q4766642
Anna Eliza Bray	Q4766979
Anna Quindlen	Q4767426
Annabel Lyon	Q4767686
Pierre Klossowski	Q203674
Alfredo Zitarrosa	Q203413
Gustavo Adolfo Bécquer	Q203715
Manuel Azaña	Q203708
Gavin Baddeley	Q203316
Li Shangyin	Q203782
Alija Izetbegović	Q183848
Gilles Deleuze	Q184226
Thomas Henry Huxley	Q184366
Charles Richet	Q214851
August Wilhelm Iffland	Q215115
Jacob Venedey	Q215375
Albert Ehrenstein	Q214947
Johan Ludvig Runeberg	Q215339
Daniel Dennett	Q215263
Stephen Gately	Q215369
Richard Rorty	Q215258
Hermann Arthur Lier	Q1610573
Herman Lindqvist	Q1610305
Herman Sergo	Q1610344
Ted van Lieshout	Q1656387
Jane Goodall	Q184746
Johannes Scotus Eriugena	Q184500
John Edwards	Q217314
David Letterman	Q217298
La Toya Jackson	Q217427
Zofia Kossak-Szczucka	Q218309
Pavol Rankov	Q217985
George Gurdjieff	Q217771
Mylène Farmer	Q185002
Mihai Eminescu	Q184935
Tom Waits	Q184805
Heinrich Hoffmann	Q215724
Frederick Douglass	Q215562
Jack Davis	Q1677013
Armin D. Lehmann	Q215615
Arnaldur Indriðason	Q215665
George Mosse	Q215636
Joseph Görres	Q215730
Christoph Friedrich Nicolai	Q215853
J. Torres	Q1676417
Jack Hodgins	Q1677058
Jaan Rannap	Q1676771
Jacob Melle	Q1677701
Jaimy Gordon	Q1678769
Charles Dyer	Q1678166
Erwin Wickert	Q215856
Jack Popplewell	Q1677164
Ivo Michiels	Q1675791
Ivan Evdokimov	Q1676007
Jacob Breda Bull	Q1677436
Jacques Claude Demogeot	Q1677943
Karl Philipp Moritz	Q215781
Lisa Tetzner	Q215660
Judith Kerr	Q215820
Errico Malatesta	Q215673
Nadezhda Krupskaya	Q215637
Jean-Claude Forest	Q185829
Cassius Dio	Q185223
Mikhail Bakhtin	Q185375
Egbert von Lüttich	Q185460
Puyi	Q185152
Ken Bugul	Q185636
Avianus	Q185732
Gustav Struve	Q213794
Ferdinand Freiligrath	Q213719
Zofia Nałkowska	Q218319
Friedrich Schlichtegroll	Q213865
Friedrich von Matthisson	Q213993
Johann Karl August Musäus	Q213974
Zofia Posmysz	Q218317
Friedrich Leopold zu Stolberg-Stolberg	Q213737
Isaac Jacob Schmidt	Q213754
Otto Schmeil	Q213929
Julia Child	Q214477
Otto Ehrenfried Ehlers	Q214476
Lorenzo Valla	Q214115
Julius von Eckardt	Q214557
